127.0.0.1 - - [22/Sep/2023:11:40:27 +0530] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:41 +0530] "GET /FormData/FormController HTTP/1.1" 405 1065
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:46 +0530] "GET /favicon.ico HTTP/1.1" 404 973
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:52 +0530] "GET /FormData/ HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:52 +0530] "GET /FormData/css/NewFile.css HTTP/1.1" 200 185
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:52 +0530] "GET /FormData/js/newjs.js HTTP/1.1" 200 886
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:40:52 +0530] "GET /FormData/client_logo.jpg HTTP/1.1" 404 999
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:41:13 +0530] "POST /FormData/FormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:41:18 +0530] "GET /FormData/home.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:41:23 +0530] "POST /FormData/FormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:41:23 +0530] "GET /FormData/home.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:42:00 +0530] "POST /FormData/FormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:42:00 +0530] "GET /FormData/home.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:42:40 +0530] "GET /FormData/index.html HTTP/1.1" 200 1995
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:42:40 +0530] "GET /FormData/js/newjs.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:43:26 +0530] "POST /FormData/FormController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:43:26 +0530] "GET /FormData/home.jsp HTTP/1.1" 200 144
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:53:03 +0530] "GET /FormData/js/newjs.js HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:53:12 +0530] "GET /FormData/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Sep/2023:11:53:12 +0530] "GET /FormData/js/newjs.js HTTP/1.1" 304 -
192.168.0.124 - - [22/Sep/2023:16:15:26 +0530] "GET /yaragoemrjavaclient/ HTTP/1.1" 404 991
192.168.0.124 - - [22/Sep/2023:16:15:26 +0530] "GET /favicon.ico HTTP/1.1" 404 973
